Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total per country
AUSTRIA,17173.0,17090.0,16647.0,17352.0,17467.0,17982.0,18180.0,18611.0,19078.0,19374.0,19952.0,20269.0,20773.0,21935.0,21355.0,22004.0,23012.0,24151.0,24813.0,25291.0,26728.0,28121.0,29460.0,30816.0,31884.0,15091.0,12728.0,26215.0,603552.0
AZERBAIJAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,1038.0,1279.0,1177.0,1194.0,1333.0,1899.0,1830.0,1963.0,2239.0,2484.0,2509.0,2298.0,2006.0,2248.0,2697.0,2849.0,3170.0,796.0,0.0,1602.0,37445.0
BAHAMAS,3238.0,3418.0,3446.0,3348.0,3648.0,4204.0,4183.0,4406.0,4594.0,5004.0,4779.0,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,5940.0,6151.0,6320.0,6112.0,6265.0,6136.0,6623.0,7251.0,1795.0,2101.0,7001.0,135177.0
BAHRAIN,2311.0,1988.0,2600.0,2898.0,3280.0,3869.0,4388.0,4831.0,4844.0,5667.0,6313.0,7289.0,7833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9670.0,10158.0,11374.0,12044.0,11061.0,1909.0,3612.0,9949.0,127888.0
BANGLADESH,156.0,166.0,182.0,172.0,173.0,199.0,207.0,207.0,245.0,271.0,208.0,200.0,289.0,467.0,267.0,139.0,157.0,160.0,104.0,134.0,126.0,182.0,237.0,267.0,323.0,182.0,135.0,0.0,5555.0
BARBADOS,927.0,957.0,990.0,1019.0,948.0,1078.0,1035.0,1021.0,1090.0,1273.0,1111.0,1102.0,1191.0,1165.0,1154.0,1197.0,1187.0,1053.0,1079.0,1079.0,1179.0,1227.0,1345.0,1356.0,966.0,545.0,242.0,898.0,29414.0
BELARUS,0.0,0.0,0.0,363.0,315.0,262.0,221.0,209.0,229.0,239.0,253.0,292.0,368.0,477.0,512.0,677.0,783.0,993.0,1003.0,1080.0,1141.0,2025.0,2136.0,2340.0,2434.0,624.0,814.0,1574.0,21364.0
BELGIUM,5560.0,5829.0,6037.0,6179.0,6369.0,6457.0,6452.0,6720.0,6690.0,6710.0,6747.0,6995.0,7045.0,7165.0,6815.0,7186.0,7494.0,7560.0,7684.0,7887.0,8355.0,7481.0,8385.0,9119.0,9343.0,2584.0,3243.0,8220.0,192311.0
BELIZE,342.0,349.0,305.0,300.0,340.0,374.0,385.0,694.0,999.0,1329.0,1037.0,903.0,880.0,846.0,941.0,1054.0,1106.0,1028.0,1022.0,1289.0,1299.0,1391.0,1441.0,1697.0,1674.0,487.0,437.0,373.0,24322.0
BENIN,138.0,143.0,148.0,152.0,80.0,96.0,88.0,72.0,175.0,174.0,176.0,180.0,186.0,188.0,190.0,199.0,220.0,232.0,252.0,265.0,279.0,292.0,307.0,322.0,337.0,354.0,0.0,0.0,5245.0
BERMUDA,557.0,572.0,562.0,558.0,549.0,539.0,458.0,484.0,483.0,478.0,517.0,635.0,660.0,550.0,554.0,580.0,652.0,610.0,576.0,580.0,597.0,642.0,688.0,766.0,805.0,51.0,86.0,549.0,15338.0
BHUTAN,5.0,5.0,5.0,6.0,7.0,8.0,6.0,6.0,6.0,9.0,14.0,17.0,21.0,28.0,23.0,41.0,66.0,105.0,116.0,133.0,155.0,210.0,255.0,274.0,316.0,30.0,0.001,20.9,1887.901
BOLIVIA,284.0,313.0,355.0,387.0,342.0,319.0,316.0,334.0,427.0,480.0,524.0,521.0,573.0,530.0,599.0,679.0,711.0,798.0,798.0,871.0,882.0,961.0,1109.0,1142.0,1239.0,323.0,180.0,724.0,16721.0
BONAIRE,70.0,80.0,86.0,85.0,78.0,96.0,94.0,94.0,107.0,116.0,103.0,126.0,172.0,250.0,280.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0
BOSNIA AND HERZEGOVINA,0.0,0.0,115.0,148.0,147.0,171.0,139.0,160.0,165.0,190.0,217.0,256.0,306.0,322.0,311.0,365.0,392.0,439.0,529.0,536.0,678.0,778.0,923.0,1053.0,1198.0,197.0,502.0,915.0,11152.0
BOTSWANA,636.0,656.0,765.0,940.0,1039.0,1306.0,1450.0,1485.0,1593.0,1727.0,1684.0,1642.0,1965.0,2344.0,1721.0,1973.0,0.0,1614.0,1544.0,1966.0,1660.0,1712.0,1775.0,1831.0,1556.0,359.0,338.0,0.0,37281.0
BRAZIL,1991.0,2666.0,2850.0,4818.0,5107.0,5313.0,4773.0,3785.0,4133.0,4794.0,5358.0,5017.0,5026.0,5050.0,4802.0,5161.0,5433.0,5677.0,5813.0,6430.0,6306.0,6547.0,6589.0,6621.0,6353.0,2146.0,746.0,3630.0,132935.0
BRITISH VIRGIN ISLANDS,365.0,412.0,365.0,392.0,484.0,519.0,535.0,544.0,614.0,813.0,820.0,825.0,948.0,934.0,857.0,842.0,831.0,753.0,742.0,773.0,922.0,1125.0,335.0,192.0,895.0,83.0,56.0,173.0,17149.0
BRUNEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,126.0,158.0,179.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,244.0,270.0,297.0,348.0,64.0,4.0,0.0,3501.0
BULGARIA,8005.0,6811.0,7543.0,5240.0,5056.0,4922.0,5104.0,5563.0,6241.0,6982.0,7282.0,7499.0,7725.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9409.0,9317.0,10604.0,11596.0,12368.0,12552.0,4973.0,7188.0,10889.0,224421.0
BURKINA FASO,124.0,131.0,138.0,160.0,117.0,126.0,128.0,150.0,163.0,222.0,245.0,264.0,289.0,272.0,269.0,274.0,238.0,237.0,218.0,191.0,163.0,152.0,143.0,144.0,143.0,67.0,106.0,116.0,4990.0
BURUNDI,34.0,27.0,11.0,15.0,26.0,29.0,36.0,74.0,74.0,133.0,148.0,214.0,192.0,202.0,212.0,142.0,144.0,147.0,234.0,235.0,131.0,187.0,299.0,0.0,0.0,0.0,0.0,0.0,2946.0
CABO VERDE,28.0,37.0,45.0,52.0,67.0,115.0,134.0,126.0,150.0,157.0,198.0,242.0,267.0,285.0,287.0,336.0,428.0,482.0,503.0,494.0,520.0,598.0,668.0,710.0,758.0,180.0,135.0,785.0,8787.0
CAMBODIA,220.0,260.0,219.0,287.0,368.0,466.0,605.0,787.0,701.0,1055.0,1422.0,1700.0,2015.0,2125.0,2162.0,2508.0,2882.0,3584.0,4210.0,4503.0,4775.0,5012.0,5602.0,6201.0,6611.0,1306.0,196.0,2277.0,64059.0
CAMEROON,100.0,145.0,232.0,247.0,262.0,277.0,221.0,226.0,0.0,190.0,176.0,0.0,0.0,487.0,498.0,573.0,604.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5055.0
CANADA,41657.0,43257.0,45076.0,48064.0,49055.0,48637.0,47146.0,44896.0,38902.0,38845.0,36161.0,33390.0,30374.0,27370.0,24696.0,25621.0,25066.0,25318.0,25167.0,25558.0,27555.0,30142.0,31081.0,31274.0,32429.0,5068.0,4282.0,17924.0,904011.0
CAYMAN ISLANDS,1044.0,1173.0,1248.0,1275.0,1431.0,1385.0,1549.0,1878.0,2113.0,1953.0,1967.0,2197.0,2008.0,1856.0,1792.0,1886.0,1710.0,1829.0,1721.0,1993.0,2102.0,2097.0,2146.0,2384.0,2334.0,660.0,17.0,1027.0,46775.0
CENTRAL AFRICAN REPUBLIC,26.0,21.0,17.0,8.0,10.0,11.0,10.0,3.0,6.0,8.0,12.0,14.0,17.0,31.0,52.0,54.0,65.0,71.0,84.0,96.0,121.0,82.0,107.0,109.0,87.0,35.0,0.0,0.0,1157.0
CHAD,19.0,20.0,27.0,41.0,46.0,43.0,57.0,32.0,21.0,26.0,29.0,46.0,77.0,61.0,70.0,71.0,77.0,86.0,97.0,119.0,120.0,98.0,87.0,77.0,79.0,11.0,40.0,0.0,1577.0
CHILE,1540.0,1450.0,1644.0,1759.0,1632.0,1742.0,2504.0,2214.0,2490.0,2804.0,2986.0,3210.0,3248.0,3713.0,3657.0,3585.0,3963.0,4397.0,4457.0,4600.0,5487.0,6713.0,7621.0,6603.0,5431.0,1310.0,192.0,2269.0,93221.0
CHINA,20034.0,22765.0,23770.0,25073.0,27047.0,31229.0,33167.0,36803.0,32970.0,41761.0,46809.0,49913.0,54720.0,53049.0,50875.0,55664.0,57581.0,57725.0,55686.0,55622.0,56886.0,59270.0,60740.0,62900.0,65725.0,7967.0,0.0,0.0,1145751.0
COLOMBIA,1433.0,751.0,758.0,823.0,725.0,707.0,788.0,661.0,668.0,840.0,981.0,2096.0,2381.0,2545.0,2649.0,1701.0,2356.0,2434.0,2595.0,2866.0,3371.0,3676.0,4057.0,4398.0,4531.0,1386.0,2146.0,4687.0,59010.0
COMOROS,23.0,24.0,26.0,27.0,24.0,24.0,19.0,19.0,21.0,23.0,26.0,29.0,15.0,15.0,11.0,15.0,19.0,23.0,22.0,23.0,24.0,27.0,28.0,36.0,45.0,7.0,29.0,0.0,624.0
CONGO,37.0,39.0,27.0,20.0,14.0,19.0,27.0,22.0,23.0,31.0,35.0,46.0,55.0,62.0,94.0,199.0,224.0,259.0,345.0,229.0,224.0,213.0,151.0,158.0,0.0,0.0,0.0,0.0,2553.0
COOK ISLANDS,48.0,48.0,50.0,49.0,56.0,73.0,75.0,73.0,78.0,83.0,88.0,92.0,97.0,95.0,101.0,104.0,113.0,122.0,121.0,122.0,125.0,146.0,161.0,169.0,172.0,25.0,26.0,114.0,2626.0
COSTA RICA,924.0,940.0,1012.0,1167.0,1267.0,1278.0,1320.0,1335.0,1514.0,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,2760.0,2899.0,3204.0,3231.0,3313.0,3378.0,1147.0,1376.0,2498.0,57588.0
CROATIA,1485.0,2914.0,4178.0,4499.0,3805.0,5831.0,6544.0,6944.0,7409.0,7912.0,7743.0,7988.0,8559.0,8665.0,8694.0,9111.0,9927.0,10369.0,10948.0,11623.0,12683.0,13809.0,15593.0,16645.0,17353.0,5545.0,10641.0,15324.0,252741.0
CUBA,745.0,1004.0,1170.0,1416.0,1603.0,1774.0,1775.0,1686.0,1906.0,2049.0,2319.0,2221.0,2152.0,2348.0,2430.0,2532.0,2716.0,2847.0,2862.0,3014.0,3540.0,4009.0,4594.0,4684.0,4263.0,1085.0,356.0,1613.0,64713.0
CURACAO,396.0,387.0,422.0,438.0,433.0,513.0,519.0,545.0,507.0,452.0,510.0,572.0,664.0,773.0,808.0,762.0,837.0,908.0,1071.0,1129.0,1072.0,943.0,1058.0,1210.0,1293.0,436.0,418.0,1035.0,20111.0
CYPRUS,2253.0,2089.0,2194.0,2357.0,2577.0,2912.0,2841.0,2495.0,2416.0,2478.0,2657.0,2629.0,2671.0,2631.0,2370.0,2450.0,2626.0,2635.0,2626.0,2588.0,2780.0,3287.0,3750.0,4024.0,4117.0,632.0,1937.0,0.0,71022.0
CZECHIA,3381.0,4558.0,4976.0,5482.0,5610.0,4773.0,5405.0,4743.0,20108.0,23808.0,24747.0,25103.0,22625.0,21850.0,23285.0,21941.0,22811.0,25750.0,26332.0,27167.0,29604.0,32519.0,34701.0,36269.0,37202.0,10266.0,10014.0,0.0,515030.0
DEMOCRATIC REPUBLIC OF CONGO,85.0,37.0,30.0,53.0,100.0,123.0,75.0,48.0,55.0,36.0,61.0,55.0,47.0,50.0,53.0,81.0,197.0,167.0,191.0,334.0,354.0,351.0,430.0,392.0,479.0,202.0,382.0,0.0,4468.0
DENMARK,0.0,2125.0,2158.0,2073.0,2023.0,3535.0,3684.0,3436.0,21119.0,22054.0,26927.0,26936.0,27138.0,26870.0,26571.0,26730.0,25811.0,26402.0,26516.0,28070.0,28209.0,28692.0,30736.0,30801.0,32065.0,16031.0,18372.0,31530.0,546614.0
DJIBOUTI,21.0,20.0,20.0,21.0,21.0,20.0,22.0,23.0,23.0,26.0,30.0,40.0,40.0,54.0,58.0,51.0,56.0,60.0,63.0,0.0,0.0,0.0,133.0,142.0,167.0,75.0,114.0,145.0,1445.0
DOMINICA,203.0,261.0,299.0,312.0,280.0,312.0,276.0,208.0,254.0,467.0,382.0,465.0,437.0,468.0,608.0,596.0,418.0,348.0,311.0,371.0,358.0,356.0,230.0,199.0,322.0,140.0,66.0,235.0,9182.0
DOMINICAN REPUBLIC,1806.0,2037.0,2482.0,2702.0,2932.0,3161.0,3090.0,3058.0,3680.0,3907.0,3981.0,4268.0,4365.0,4455.0,4489.0,4478.0,4654.0,4901.0,5114.0,5576.0,6129.0,6768.0,7296.0,7551.0,7550.0,2748.0,5327.0,8488.0,126993.0
EGYPT,3133.0,3836.0,3961.0,3454.0,4797.0,5506.0,4648.0,5192.0,6044.0,8104.0,8608.0,9083.0,11091.0,12836.0,12536.0,14731.0,9845.0,11532.0,9465.0,9878.0,9328.0,5399.0,8293.0,11347.0,13027.0,3677.0,7998.0,11724.0,229073.0
EL SALVADOR,235.0,283.0,387.0,542.0,658.0,867.0,804.0,885.0,798.0,1030.0,1306.0,1501.0,1720.0,1875.0,1482.0,1606.0,1634.0,1738.0,1822.0,1886.0,1973.0,2052.0,2247.0,2535.0,2639.0,766.0,1436.0,2541.0,39248.0
ESTONIA,2110.0,2444.0,2619.0,2909.0,3181.0,3310.0,3230.0,3253.0,3378.0,2035.0,2224.0,2253.0,2195.0,3828.0,3834.0,4369.0,4907.0,5007.0,5737.0,5804.0,5696.0,5942.0,6145.0,6033.0,6102.0,1696.0,1310.0,3497.0,105048.0
ESWATINI,300.0,315.0,269.0,284.0,289.0,281.0,283.0,256.0,461.0,459.0,1182.0,1200.0,1230.0,1186.0,1344.0,1343.0,1328.0,1278.0,1299.0,1325.0,1256.0,1279.0,1343.0,1278.0,1226.0,346.0,210.0,503.0,23353.0
ETHIOPIA,103.0,109.0,139.0,112.0,115.0,136.0,148.0,156.0,180.0,184.0,227.0,330.0,358.0,383.0,427.0,468.0,523.0,597.0,681.0,770.0,864.0,871.0,933.0,849.0,812.0,271.0,518.0,897.0,12161.0
FIJI,476.0,534.0,547.0,499.0,544.0,434.0,446.0,461.0,451.0,513.0,547.0,549.0,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0,32.0,652.0,17230.0
FINLAND,1779.0,1724.0,1832.0,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,2797.0,2731.0,2622.0,2789.0,3180.0,3224.0,3290.0,896.0,807.0,2127.0,107666.0
FRANCE,60033.0,148263.0,157551.0,70109.0,73147.0,77190.0,75202.0,77012.0,75048.0,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197523.0,204410.0,206599.0,203303.0,203042.0,207274.0,211998.0,217877.0,117108.0,141297.0,0.0,4259659.0
FRENCH GUIANA,0.0,0.0,0.0,68.0,70.0,0.0,65.0,65.0,0.0,0.0,97.0,0.0,109.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,87.0,96.0,111.0,0.0,0.0,0.0,0.0,0.0,851.0
FRENCH POLYNESIA,186.0,184.0,201.0,211.0,236.0,252.0,228.0,189.0,213.0,212.0,208.0,222.0,243.0,227.0,190.0,179.0,196.0,210.0,214.0,229.0,239.0,241.0,254.0,260.0,282.0,89.0,95.0,262.0,5952.0
GABON,200.0,215.0,242.0,267.0,254.0,225.0,234.0,268.0,234.0,351.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0
GAMBIA,45.0,77.0,85.0,91.0,96.0,79.0,57.0,81.0,89.0,90.0,108.0,125.0,143.0,147.0,142.0,91.0,106.0,157.0,171.0,156.0,449.0,450.0,522.0,552.0,620.0,246.0,332.0,570.0,5877.0
GEORGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.0,2712.0,4106.0,4954.0,5004.0,5256.0,5393.0,6483.0,7203.0,7725.0,1513.0,1721.0,4704.0,58806.0
GERMANY,14847.0,15205.0,15837.0,16511.0,17116.0,18983.0,17861.0,17969.0,18399.0,20137.0,21500.0,23569.0,24421.0,24884.0,24220.0,26875.0,28374.0,30411.0,31545.0,32999.0,34970.0,35555.0,37452.0,38881.0,39563.0,12449.0,11688.0,28463.0,680684.0
GHANA,286.0,305.0,325.0,348.0,373.0,399.0,439.0,483.0,531.0,584.0,429.0,497.0,587.0,698.0,803.0,931.0,821.0,903.0,994.0,825.0,897.0,933.0,969.0,956.0,1130.0,355.0,624.0,915.0,18340.0
GREECE,10712.0,9782.0,10588.0,11364.0,12606.0,13568.0,14678.0,14918.0,14784.0,14268.0,15938.0,17284.0,16165.0,15939.0,14915.0,15007.0,16427.0,15518.0,20112.0,24272.0,26114.0,28070.0,30161.0,33072.0,34004.0,7405.0,15246.0,29876.0,502793.0
GRENADA,369.0,386.0,368.0,392.0,379.0,316.0,277.0,271.0,294.0,370.0,380.0,343.0,405.0,428.0,460.0,445.0,446.0,370.0,327.0,387.0,437.0,474.0,468.0,529.0,526.0,217.0,72.0,335.0,10471.0
GUADELOUPE,1059.0,1236.0,1130.0,914.0,854.0,995.0,759.0,148.0,569.0,560.0,445.0,447.0,500.0,527.0,458.0,497.0,419.0,487.0,645.0,720.0,822.0,857.0,970.0,1166.0,0.0,0.0,0.0,0.0,17184.0
GUAM,1362.0,1373.0,1382.0,1137.0,1162.0,1287.0,1159.0,1059.0,910.0,1160.0,1228.0,1212.0,1225.0,1142.0,1053.0,1197.0,1160.0,1308.0,1334.0,1343.0,1409.0,1536.0,1545.0,1549.0,1667.0,328.0,79.0,328.0,32634.0
GUATEMALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,35.0,1627.0,1715.0,1311.0,1383.0,1435.0,1491.0,1515.0,1739.0,1865.0,1906.0,2114.0,2406.0,2559.0,594.0,666.0,1845.0,26235.0
GUINEA,0.0,12.0,17.0,23.0,27.0,33.0,38.0,43.0,44.0,45.0,45.0,46.0,30.0,24.0,0.0,12.0,131.0,96.0,56.0,33.0,35.0,63.0,99.0,0.0,0.0,0.0,0.0,0.0,952.0
GUINEA-BISSAU,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,12.0,16.0,18.0,16.0,22.0,37.0,35.0,36.0,36.0,44.0,45.0,50.0,55.0,52.0,0.0,0.0,0.0,487.0
GUYANA,106.0,92.0,76.0,66.0,75.0,105.0,99.0,104.0,101.0,122.0,117.0,113.0,134.0,130.0,141.0,152.0,157.0,177.0,200.0,206.0,207.0,235.0,247.0,287.0,315.0,87.0,158.0,288.0,4297.0
HAITI,370.0,400.0,387.0,393.0,386.0,445.0,499.0,482.0,518.0,385.0,480.0,558.0,868.0,758.0,826.0,793.0,946.0,959.0,1064.0,1127.0,1190.0,1153.0,1262.0,1332.0,938.0,322.0,148.0,0.0,18989.0
HONDURAS,271.0,271.0,310.0,324.0,428.0,689.0,672.0,789.0,887.0,1026.0,1118.0,1137.0,1309.0,1562.0,1590.0,1966.0,1851.0,1904.0,1857.0,2082.0,2092.0,2228.0,2144.0,2324.0,2314.0,669.0,826.0,1911.0,36551.0
HONG KONG,10200.0,12974.0,11273.0,10160.0,11329.0,13060.0,13725.0,16567.0,15537.0,21811.0,23359.0,25251.0,28169.0,29506.0,29591.0,36030.0,41921.0,48615.0,54299.0,60838.0,59308.0,56655.0,58472.0,65148.0,55912.0,3569.0,91.0,605.0,813975.0
HUNGARY,2878.0,2979.0,2887.0,2871.0,2789.0,2992.0,3070.0,3013.0,2948.0,33934.0,36173.0,38318.0,39379.0,39554.0,40623.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54961.0,57667.0,61397.0,31641.0,36687.0,46343.0,858707.0
ICELAND,211.0,223.0,223.0,255.0,281.0,328.0,329.0,315.0,348.0,405.0,429.0,477.0,539.0,561.0,563.0,559.0,629.0,765.0,899.0,1102.0,1389.0,1891.0,2353.0,2489.0,2202.0,487.0,717.0,0.0,20969.0
INDIA,2143.0,2308.0,2395.0,2382.0,2508.0,2677.0,2591.0,2428.0,2774.0,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,6309.0,6578.0,6968.0,13107.0,13284.0,14570.0,0.0,0.0,17914.0,6337.0,7010.0,0.0,148252.0
INDONESIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10407.0,11519.0,14040.0,15810.0,16107.0,4052.0,1557.0,0.0,73492.0
IRAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,0.0,989.0
IRELAND,4818.0,5534.0,5923.0,6428.0,6747.0,6991.0,6697.0,6781.0,7098.0,7302.0,7700.0,8425.0,8754.0,8577.0,7668.0,7573.0,8119.0,8028.0,8855.0,9589.0,10422.0,11257.0,11543.0,12266.0,12401.0,0.0,0.0,0.0,205496.0
ISRAEL,2533.0,2360.0,2295.0,2200.0,2566.0,2672.0,1219.0,862.3,1063.0,1506.2,1916.0,1834.0,2294.0,3034.0,2739.0,3444.0,3362.0,3521.0,3540.0,3251.0,3108.0,3070.0,3863.0,4390.0,4905.0,887.0,403.0,2851.0,71688.5
ITALY,55706.0,59806.0,57998.0,58500.0,59521.0,62703.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84924.0,89931.0,93228.0,95399.0,38419.0,40186.0,74317.0,1915838.0
JAMAICA,1752.0,1820.0,1904.0,1899.0,2012.0,2231.0,2117.0,2131.0,2483.0,2515.0,2615.0,3016.0,2881.0,2859.0,2753.0,2832.0,3077.0,3306.0,3273.0,3504.0,3692.0,3838.0,4276.0,4319.0,4234.0,1329.0,1535.0,3330.0,77533.0
JORDAN,1082.0,1122.0,1147.0,3438.0,3231.0,2700.0,3034.0,4677.0,4600.0,5587.0,5818.0,6573.0,6529.0,7101.0,7084.0,8078.0,6813.0,6314.0,5389.0,5327.0,4809.0,4236.0,4566.0,4922.0,5360.0,1240.0,2359.0,5049.0,128185.0
KAZAKHSTAN,0.0,0.0,0.0,0.0,0.0,1683.0,2693.0,3678.0,3237.0,4291.0,4365.0,4707.0,5311.0,4117.0,3774.0,4097.0,5685.0,6163.0,6841.0,6333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66975.0
KENYA,974.0,1003.0,1000.0,894.0,969.0,1037.0,994.0,1001.0,1146.0,1361.0,1479.0,1601.0,1817.0,1203.0,1490.0,1609.0,1823.0,1711.0,1520.0,1350.0,1180.0,1340.0,1449.0,0.0,0.0,0.0,0.0,0.0,29951.0
KIRIBATI,3.9,4.2,5.1,5.7,20.1,13.8,14.6,119.9,129.9,64.4,50.1,10.4,32.7,3.9,3.9,4.7,5.3,4.9,5.9,8.3,8.2,7.6,7.5,9.0,12.0,1.4,0.1,1.8,559.3
KUWAIT,72.0,76.0,79.0,77.0,84.0,78.0,73.0,96.0,94.0,91.0,104.0,185.0,293.0,259.0,297.0,207.0,269.0,300.0,307.0,198.0,182.0,203.0,183.0,200.0,153.0,86.0,85.0,0.0,4331.0
KYRGYZSTAN,36.0,42.0,87.0,59.0,48.0,59.0,99.0,140.0,0.0,0.0,0.0,185.0,243.0,304.0,283.0,259.0,337.0,348.0,415.0,413.0,402.0,321.0,421.0,423.0,235.0,69.0,144.0,346.0,5718.0
LAOS,346.0,403.0,463.0,500.0,614.0,737.0,674.0,736.0,636.0,895.0,1095.0,1215.0,1624.0,1737.0,2008.0,2513.0,2724.0,3330.0,3779.0,4159.0,4684.0,4239.0,3869.0,4187.0,4791.0,887.0,0.0,0.0,52845.0
LATVIA,539.0,1713.0,1824.0,1801.0,1718.0,1914.0,2039.0,2273.0,2470.0,3033.0,3774.0,4644.0,5236.0,5496.0,4727.0,5042.0,5538.0,5569.0,5822.0,6246.0,6842.0,6797.0,7726.0,7775.0,8343.0,3204.0,1937.0,0.0,114042.0
LEBANON,450.0,424.0,558.0,631.0,673.0,742.0,837.0,956.0,1016.0,1278.0,1140.0,1063.0,1017.0,1333.0,1844.0,2168.0,1655.0,1366.0,1274.0,1355.0,1518.0,1688.0,1857.0,1964.0,1936.0,414.0,890.0,1466.0,33513.0
